id,contract_id,timestamp,price,type,timeframe,created_at,updated_at
55,CON.F.US.MES.M25,2025-04-22 18:00:00+00,5262,uptrendStart,4h,2025-05-13 14:39:05.247,2025-05-13 14:39:05.247
56,CON.F.US.MES.M25,2025-04-22 14:00:00+00,5339.25,downtrendStart,4h,2025-05-13 14:39:07.562,2025-05-13 14:39:07.562
57,CON.F.US.MES.M25,2025-04-21 18:00:00+00,5127,uptrendStart,4h,2025-05-13 14:39:13.11,2025-05-13 14:39:13.11
58,CON.F.US.MES.M25,2025-04-17 18:00:00+00,5359.75,downtrendStart,4h,2025-05-13 14:39:19.669,2025-05-13 14:39:19.669
59,CON.F.US.MES.M25,2025-05-12 20:00:00+00,5876.25,downtrendStart,1h,2025-05-13 14:39:48.456,2025-05-13 14:39:48.456
60,CON.F.US.MES.M25,2025-05-12 14:00:00+00,5805.75,uptrendStart,1h,2025-05-13 14:39:59.716,2025-05-13 14:39:59.716
61,CON.F.US.MES.M25,2025-05-12 11:00:00+00,5865.5,downtrendStart,1h,2025-05-13 14:40:32.022,2025-05-13 14:40:32.022
62,CON.F.US.MES.M25,2025-05-09 14:00:00+00,5662.75,uptrendStart,1h,2025-05-13 14:40:48.299,2025-05-13 14:40:48.299
63,CON.F.US.MES.M25,2025-05-09 11:00:00+00,5715.75,downtrendStart,1h,2025-05-13 14:40:55.034,2025-05-13 14:40:55.034
64,CON.F.US.MES.M25,2025-05-09 08:00:00+00,5682.25,uptrendStart,1h,2025-05-13 14:41:01.197,2025-05-13 14:41:01.197
65,CON.F.US.MES.M25,2025-05-09 06:00:00+00,5693.75,downtrendStart,1h,2025-05-13 14:41:27.942,2025-05-13 14:41:27.942
66,CON.F.US.MES.M25,2025-05-09 03:00:00+00,5676.25,uptrendStart,1h,2025-05-13 14:41:34.213,2025-05-13 14:41:34.213
67,CON.F.US.MES.M25,2025-05-09 02:00:00+00,5695.5,downtrendStart,1h,2025-05-13 14:41:38.813,2025-05-13 14:41:38.813
68,CON.F.US.MES.M25,2025-05-09 00:00:00+00,5665.25,uptrendStart,1h,2025-05-13 14:41:47.93,2025-05-13 14:41:47.93
69,CON.F.US.MES.M25,2025-05-08 19:00:00+00,5732,downtrendStart,1h,2025-05-13 14:41:57.394,2025-05-13 14:41:57.394
70,CON.F.US.MES.M25,2025-05-08 18:00:00+00,5711.25,uptrendStart,1h,2025-05-13 14:42:01.971,2025-05-13 14:42:01.971
71,CON.F.US.MES.M25,2025-05-08 16:00:00+00,5741,downtrendStart,1h,2025-05-13 14:42:06.32,2025-05-13 14:42:06.32
72,CON.F.US.MES.M25,2025-05-08 14:00:00+00,5652.75,uptrendStart,1h,2025-05-13 14:42:11.057,2025-05-13 14:42:11.057
73,CON.F.US.MES.M25,2025-05-08 11:00:00+00,5717.75,downtrendStart,1h,2025-05-13 14:42:15.568,2025-05-13 14:42:15.568
74,CON.F.US.MES.M25,2025-05-08 06:00:00+00,5682.75,uptrendStart,1h,2025-05-13 14:42:25.3,2025-05-13 14:42:25.3
75,CON.F.US.MES.M25,2025-05-08 04:00:00+00,5700.75,downtrendStart,1h,2025-05-13 14:42:29.928,2025-05-13 14:42:29.928
76,CON.F.US.MES.M25,2025-05-07 22:00:00+00,5636.5,uptrendStart,1h,2025-05-13 14:42:41.185,2025-05-13 14:42:41.185
77,CON.F.US.MES.M25,2025-05-07 19:00:00+00,5675,downtrendStart,1h,2025-05-13 14:42:44.558,2025-05-13 14:42:44.558
78,CON.F.US.MES.M25,2025-05-07 18:00:00+00,5596,uptrendStart,1h,2025-05-13 14:42:50.218,2025-05-13 14:42:50.218
79,CON.F.US.MES.M25,2025-05-07 17:00:00+00,5655.5,downtrendStart,1h,2025-05-13 14:43:02.709,2025-05-13 14:43:02.709
80,CON.F.US.MES.M25,2025-05-07 15:00:00+00,5620,uptrendStart,1h,2025-05-13 14:43:09.018,2025-05-13 14:43:09.018
81,CON.F.US.MES.M25,2025-05-06 22:00:00+00,5690.75,downtrendStart,1h,2025-05-13 14:43:15.725,2025-05-13 14:43:15.725
82,CON.F.US.MES.M25,2025-05-06 20:00:00+00,5605,uptrendStart,1h,2025-05-13 14:43:22.617,2025-05-13 14:43:22.617
83,CON.F.US.MES.M25,2025-05-06 19:00:00+00,5651.75,downtrendStart,1h,2025-05-13 14:43:30.588,2025-05-13 14:43:30.588
84,CON.F.US.MES.M25,2025-05-13 01:00:00+00,5846.5,uptrendStart,1h,2025-05-13 22:46:26.987,2025-05-13 22:46:26.987
85,CON.F.US.MES.M25,2025-05-13 02:00:00+00,5854.5,downtrendStart,1h,2025-05-13 22:46:32.827,2025-05-13 22:46:32.827
86,CON.F.US.MES.M25,2025-05-13 04:00:00+00,5835.75,uptrendStart,1h,2025-05-13 22:46:37.245,2025-05-13 22:46:37.245
87,CON.F.US.MES.M25,2025-05-13 06:00:00+00,5851,downtrendStart,1h,2025-05-13 22:46:42.29,2025-05-13 22:46:42.29
88,CON.F.US.MES.M25,2025-05-13 08:00:00+00,5837.75,uptrendStart,1h,2025-05-13 22:46:46.238,2025-05-13 22:46:46.238
89,CON.F.US.MES.M25,2025-05-13 17:00:00+00,5926.75,downtrendStart,1h,2025-05-13 22:46:57.064,2025-05-13 22:46:57.064
90,CON.F.US.MES.M25,2025-05-13 18:00:00+00,5910.25,uptrendStart,1h,2025-05-13 22:47:00.584,2025-05-13 22:47:00.584
91,CON.F.US.MES.M25,2025-05-13 02:00:00+00,5841.5,uptrendStart,4h,2025-05-13 22:49:33.206,2025-05-13 22:49:33.206
