contract_id,timestamp,open,high,low,close,volume,timeframe_unit,timeframe_value
CON.F.US.MES.M25,2025-05-06 00:00:00+00:00,5667.0,5673.5,5605.0,5615.5,1313124,4,1
CON.F.US.MES.M25,2025-05-07 00:00:00+00:00,5609.5,5690.75,5596.0,5646.5,1336121,4,1
CON.F.US.MES.M25,2025-05-08 00:00:00+00:00,5645.75,5741.0,5636.5,5684.75,1386964,4,1
CON.F.US.MES.M25,2025-05-09 00:00:00+00:00,5687.75,5715.75,5662.75,5683.75,1141153,4,1
CON.F.US.MES.M25,2025-05-12 00:00:00+00:00,5743.5,5876.25,5734.0,5868.25,1497158,4,1
CON.F.US.MES.M25,2025-05-13 00:00:00+00:00,5868.0,5926.75,5835.75,5900.75,1052746,4,1
CON.F.US.MES.M25,2025-05-14 00:00:00+00:00,5901.75,5925.0,5890.0,5906.0,1102366,4,1
CON.F.US.MES.M25,2025-05-15 00:00:00+00:00,5904.25,5944.5,5867.0,5934.0,1105202,4,1
CON.F.US.MES.M25,2025-05-16 00:00:00+00:00,5935.5,5977.75,5923.0,5948.5,885327,4,1
CON.F.US.MES.M25,2025-05-19 00:00:00+00:00,5930.5,5987.5,5892.75,5980.75,1109217,4,1
CON.F.US.MES.M25,2025-05-20 00:00:00+00:00,5980.25,5993.25,5926.5,5954.5,1108353,4,1
CON.F.US.MES.M25,2025-05-21 00:00:00+00:00,5954.5,5958.0,5847.75,5858.5,1730919,4,1
CON.F.US.MES.M25,2025-05-22 00:00:00+00:00,5857.75,5895.0,5828.0,5867.75,1369568,4,1
CON.F.US.MES.M25,2025-05-23 00:00:00+00:00,5868.25,5872.0,5756.5,5815.25,1529596,4,1
CON.F.US.MES.M25,2025-05-27 00:00:00+00:00,5820.25,5941.75,5813.25,5940.5,1049289,4,1
CON.F.US.MES.M25,2025-05-28 00:00:00+00:00,5941.25,5952.5,5890.0,5925.75,994262,4,1
