event_timestamp,event_type,processing_bar_index,message,processing_bar_timestamp,processing_bar_ohlc,pds_potential_idx,pds_anchor_h,pds_candidate_idx,pds_candidate_h,pds_candidate_l,pus_potential_idx,pus_anchor_l,pus_candidate_idx,pus_candidate_l,pus_candidate_h,in_containment,containment_ref_idx,containment_ref_type,last_trend_type,last_trend_idx,overall_trend_up
2025-06-09T21:41:32.717248+00:00,STRATEGY_DEBUG,6,CUS Evaluation: Rule 'HigherHighLowerLowDownClose' NOT MET for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717249+00:00,STRATEGY_DEBUG,6,CUS Evaluation: Checking rule 'EngulfingUpPDSLowBreak' for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717251+00:00,STRATEGY_DEBUG,6,CUS Evaluation: Rule 'EngulfingUpPDSLowBreak' NOT MET for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717252+00:00,STRATEGY_DEBUG,6,CUS Evaluation: Checking rule 'BreakoutAfterFailedLowV2' for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717253+00:00,STRATEGY_DEBUG,6,CUS Rule '_cus_rule_breakout_after_failed_low_v2' REJECTED: No initial PUS (3) or PDS (None) candidate.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717254+00:00,STRATEGY_DEBUG,6,CUS Evaluation: Rule 'BreakoutAfterFailedLowV2' NOT MET for PUS on Bar 3.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717256+00:00,STRATEGY_DEBUG,6,CDS Evaluation: No initial PDS candidate to evaluate.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717257+00:00,STRATEGY_DEBUG,6,Signal Generation: Checking Rule C for PDS on current_bar (6).,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717259+00:00,STRATEGY_DEBUG,6,Attempting to set PDS on Bar 6. Current PDS cand: None (H:None). Prev bar H check passed.,,,,,,,,,,,,,,,,,,
2025-06-09T21:41:32.717262+00:00,STRATEGY_DEBUG,6,"PDS set/updated on Bar 6 (H:5759.75, L:5725.5). Cleared PUS on same bar if present.",,,,,,,,,,,,,,,,,,
